(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,156.2572934,346.8075481,-134648527.8,57663270.06,-13474619.53
2,156.5130263,349.6056292,-134911983.7,57663270.06,-10526002.21
3,156.7081242,352.4596982,-135110616,57662654.06,-7581390.405
4,156.84105,355.3555318,-135244986.4,57662037.85,-4633141.689
5,156.9107271,358.2776074,-135315030.7,57661421.42,-1682658.322
6,156.9165808,1.209557841,-135320715.3,57660804.77,1268656.369
7,156.8585623,4.134692732,-135262037.4,57660187.9,4219398.658
8,156.7371507,7.036545197,-135139024.5,57659570.82,7168165.086
9,156.5533328,9.899401184,-134951735,57658953.52,10113553.13
10,156.3085648,12.70876878,-134700257.6,57658336.01,13054161.85
11,156.0047167,15.45175488,-134384711.9,57657718.27,15988592.62
12,155.6440056,18.11732885,-134005247.5,57657100.32,18915449.69
13,155.2289227,20.6964667,-133562044.8,57656482.16,21833340.94
14,154.7621589,23.18218225,-133055314.2,57655863.77,24740878.52
15,154.2465336,25.56946122,-132485296.7,57655245.17,27636679.46
16,153.6849293,27.85512008,-131852263,57654626.36,30519366.41
17,153.080235,30.03761332,-131156514,57654007.32,33387568.21
18,152.4352987,32.11681161,-130398380.5,57653388.07,36239920.63
19,151.7528902,34.09376989,-129578222.7,57652768.6,39075066.93
20,151.0356719,35.97050047,-128696430.5,57652148.92,41891658.58
21,150.2861793,37.7497615,-127753423.1,57651529.02,44688355.85
22,149.506808,39.43486726,-126749648.7,57650908.9,47463828.49
23,148.6998063,41.02952346,-125685584.7,57650288.57,50216756.3
24,147.8672731,42.53768829,-124561736.8,57649668.01,52945829.85
25,147.0111593,43.96345809,-123378639.3,57649047.25,55649751
26,146.1332716,45.31097565,-122136854.8,57648426.26,58327233.61
27,145.2352787,46.58435846,-120836973.6,57647805.06,60977004.09
28,144.3187183,47.78764412,-119479613.9,57647183.64,63597802.02
29,143.3850054,48.9247501,-118065420.9,57646562.01,66188380.77
30,142.4354399,49.99944524,-116595067.2,57645940.15,68747508.07
31,141.4712156,51.01533089,-115069251.7,57645318.08,71273966.6
32,140.493428,51.97582941,-113488700.1,57644695.8,73766554.59
33,139.5030824,52.88417863,-111854163.9,57644073.3,76224086.36
34,138.5011012,53.74343073,-110166420.4,57643450.58,78645392.91
35,137.4883313,54.55645444,-108426271.9,57642827.64,81029322.45
36,136.46555,55.32593966,-106634546.2,57642204.49,83374740.98
37,135.4334718,56.0544038,-104792095,57641581.12,85680532.8
38,134.3927538,56.7441992,-102899794.6,57640957.53,87945601.06
39,133.3440003,57.39752127,-100958544.8,57640333.73,90168868.28
40,132.2877682,58.01641702,-98969268.75,57639709.71,92349276.84
41,131.2245711,58.60279362,-96932912.41,57639085.47,94485789.53
42,130.1548828,59.15842695,-94850444.15,57638461.02,96577389.97
43,129.0791412,59.68496992,-92722854.28,57637836.35,98623083.19
44,127.9977518,60.18396049,-90551154.57,57637211.46,100621896
45,126.9110897,60.65682932,-88336377.79,57636586.36,102572877.6
46,125.8195033,61.10490702,-86079577.17,57635961.04,104475099.7
47,124.7233159,61.529431,-83781825.97,57635335.5,106327657.5
48,123.6228283,61.93155187,-81444216.9,57634709.75,108129669.7
49,122.5183208,62.31233943,-79067861.64,57634083.78,109880279
50,121.4100547,62.67278825,-76653890.32,57633457.59,111578652.4
51,120.2982741,63.01382284,-74203450.94,57632831.19,113223982.2
52,119.1832076,63.33630244,-71717708.87,57632204.57,114815485.3
53,118.0650691,63.64102546,-69197846.27,57631577.73,116352404.8
54,116.9440596,63.92873358,-66645061.52,57630950.68,117834009.4
55,115.8203681,64.20011548,-64060568.68,57630323.41,119259594.1
56,114.6941725,64.45581039,-61445596.88,57629695.92,120628480.8
57,113.5656406,64.69641121,-58801389.78,57629068.22,121940018.1
58,112.4349313,64.92246745,-56129204.92,57628440.29,123193582
59,111.3021947,65.13448797,-53430313.17,57627812.16,124388576.1
60,110.1675734,65.33294341,-50705998.09,57627183.8,125524431.6
