(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index],Third Euler Angle
1,89.24734871,293.0236197,1932211.285,57525182.4,-135323494,349.4010792
2,90.39741559,293.021826,-1029321.041,57525182.4,-135333370.4,348.1476568
3,91.54745832,293.0298439,-3981318.435,57524521.96,-135279003.5,346.8942345
4,92.69739311,293.0476892,-6931434.21,57523861.31,-135160273,345.6408121
5,93.84713585,293.075397,-9878265.186,57523200.44,-134977235.2,344.3873897
6,94.99660177,293.1130216,-12820409.74,57522539.36,-134729976.8,343.1339673
7,96.14570525,293.1606366,-15756468.47,57521878.07,-134418615.1,341.8805449
8,97.2943595,293.2183357,-18685044.88,57521216.56,-134043297.9,340.6271225
9,98.44247627,293.2862328,-21604745.99,57520554.84,-133604203.7,339.3737001
10,99.5899656,293.3644623,-24514183.07,57519892.9,-133101540.8,338.1202778
11,100.7367355,293.4531801,-27411972.25,57519230.74,-132535548.1,336.8668554
12,101.8826915,293.5525641,-30296735.2,57518568.37,-131906494.7,335.613433
13,103.0277366,293.6628148,-33167099.79,57517905.79,-131214679.3,334.3600106
14,104.1717706,293.7841564,-36021700.7,57517242.99,-130460430.9,333.1065882
15,105.3146902,293.9168378,-38859180.14,57516579.98,-129644107.8,331.8531658
16,106.4563879,294.0611335,-41678188.43,57515916.75,-128766098.2,330.5997434
17,107.5967523,294.2173452,-44477384.68,57515253.31,-127826819.4,329.346321
18,108.735667,294.3858027,-47255437.43,57514589.66,-126826717.8,328.0928987
19,109.8730109,294.5668657,-50011025.25,57513925.79,-125766268.9,326.8394763
20,111.0086569,294.7609258,-52742837.41,57513261.7,-124645976.8,325.5860539
21,112.1424718,294.9684075,-55449574.46,57512597.4,-123466374.2,324.3326315
22,113.2743155,295.1897711,-58129948.89,57511932.88,-122228021.8,323.0792091
23,114.4040407,295.4255141,-60782685.71,57511268.15,-120931508.4,321.8257867
24,115.5314916,295.6761744,-63406523.08,57510603.21,-119577450.5,320.5723643
25,116.6565036,295.9423323,-66000212.9,57509938.05,-118166491.8,319.318942
26,117.7789024,296.2246139,-68562521.4,57509272.68,-116699303.2,318.0655196
27,118.898503,296.5236935,-71092229.73,57508607.09,-115176582.3,316.8120972
28,120.0151087,296.840298,-73588134.55,57507941.28,-113599053.1,315.5586748
29,121.1285098,297.1752097,-76049048.57,57507275.27,-111967465.7,314.3052524
30,122.238483,297.5292708,-78473801.16,57506609.03,-110282596,313.05183
31,123.3447896,297.9033878,-80861238.89,57505942.59,-108545245.1,311.7984076
32,124.4471739,298.2985359,-83210226.04,57505275.92,-106756239.1,310.5449852
33,125.5453622,298.7157643,-85519645.21,57504609.05,-104916428.7,309.2915629
34,126.6390606,299.1562018,-87788397.8,57503941.96,-103026688.9,308.0381405
35,127.7279533,299.6210625,-90015404.54,57503274.65,-101087918.1,306.7847181
36,128.8117001,300.1116522,-92199606.02,57502607.13,-99101038.34,305.5312957
37,129.8899348,300.6293755,-94339963.19,57501939.39,-97066994.46,304.2778733
38,130.9622616,301.1757425,-96435457.83,57501271.44,-94986753.72,303.0244509
39,132.0282534,301.7523766,-98485093.08,57500603.28,-92861305.35,301.7710285
40,133.0874476,302.3610229,-100487893.9,57499934.9,-90691660.09,300.5176062
41,134.1393434,303.003556,-102442907.4,57499266.31,-88478849.72,299.2641838
42,135.1833976,303.681989,-104349203.6,57498597.5,-86223926.54,298.0107614
43,136.2190206,304.398482,-106205875.6,57497928.47,-83927962.91,296.757339
44,137.2455716,305.155351,-108012040.1,57497259.24,-81592050.67,295.5039166
45,138.2623539,305.9550764,-109766837.8,57496589.78,-79217300.7,294.2504942
46,139.268609,306.8003105,-111469433.8,57495920.12,-76804842.36,292.9970718
47,140.263511,307.693885,-113119018.1,57495250.24,-74355822.93,291.7436494
48,141.2461598,308.6388161,-114714806,57494580.14,-71871407.09,290.4902271
49,142.2155744,309.6383075,-116256038,57493909.83,-69352776.36,289.2368047
50,143.1706853,310.6957513,-117741981.1,57493239.3,-66801128.56,287.9833823
51,144.1103267,311.8147236,-119171928.1,57492568.56,-64217677.18,286.7299599
52,145.0332282,312.9989753,-120545198.8,57491897.61,-61603650.88,285.4765375
53,145.9380066,314.2524157,-121861139.7,57491226.44,-58960292.83,284.2231151
54,146.8231572,315.5790877,-123119124.6,57490555.06,-56288860.2,282.9696927
55,147.6870456,316.9831304,-124318555,57489883.46,-53590623.48,281.7162704
56,148.5279002,318.4687298,-125458860.1,57489211.64,-50866865.94,280.462848
57,149.3438058,320.0400516,-126539497.4,57488539.62,-48118882.97,279.2094256
58,150.1326985,321.7011551,-127559952.6,57487867.37,-45347981.52,277.9560032
59,150.8923635,323.4558847,-128519740,57487194.92,-42555479.41,276.7025808
60,151.6204358,325.3077375,-129418403,57486522.24,-39742704.76,275.4491584
61,152.3144062,327.2597036,-130255513.8,57485849.36,-36910995.34,274.195736
62,152.971632,329.3140815,-131030674,57485176.26,-34061697.92,272.9423136
63,153.5893548,331.4722694,-131743514.7,57484502.94,-31196167.66,271.6888913
64,154.1647269,333.734538,-132393696.5,57483829.41,-28315767.42,270.4354689
65,154.6948464,336.0997948,-132980910,57483155.67,-25421867.16,269.1820465
66,155.176802,338.5653534,-133504875.5,57482481.71,-22515843.26,267.9286241
67,155.6077279,341.1267257,-133965343.7,57481807.53,-19599077.86,266.6752017
68,155.9848671,343.7774599,-134362095.2,57481133.15,-16672958.25,265.4217793
69,156.3056429,346.5090481,-134694941,57480458.54,-13738876.13,264.1683569
70,156.5677332,349.3109266,-134963722.5,57479783.73,-10798227.02,262.9149346
