(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,86.07462187,66.863305,10069953.14,57663270.06,134992249.5
2,84.92568975,66.82489195,13019523.12,57663270.06,134739682.7
3,83.77712804,66.77646298,15953892,57662654.06,134423972.8
4,82.629024,66.71792298,18880683.6,57662037.85,134044345.6
5,81.48146637,66.6491566,21798505.84,57661421.42,133600981.5
6,80.33454565,66.57002767,24705970.87,57660804.77,133094091.2
7,79.18835442,66.48037872,27601695.8,57660187.9,132523915.5
8,78.04298762,66.3800302,30484303.27,57659570.82,131890725.4
9,76.89854296,66.26877974,33352422.2,57658953.52,131194821.7
10,75.75512117,66.14640129,36204688.38,57658336.01,130436535.3
11,74.61282646,66.01264404,39039745.11,57657718.27,129616226.6
12,73.47176689,65.86723139,41856243.9,57657100.32,128734285.6
13,72.33205475,65.70985963,44652845.08,57656482.16,127791131.3
14,71.19380706,65.5401966,47428218.42,57655863.77,126787212.3
15,70.05714603,65.35788016,50181043.81,57655245.17,125723005.8
16,68.92219958,65.16251651,52910011.82,57654626.36,124599017.7
17,67.78910192,64.95367832,55613824.4,57654007.32,123415782.4
18,66.6579941,64.73090274,58291195.45,57653388.07,122173862.5
19,65.52902473,64.49368916,60940851.42,57652768.6,120873848.4
20,64.40235066,64.24149683,63561531.96,57652148.92,119516358.3
21,63.27813774,63.97374214,66151990.49,57651529.02,118102037.5
22,62.15656169,63.68979581,68710994.79,57650908.9,116631558.6
23,61.037809,63.38897971,71237327.63,57650288.57,115105620.7
24,59.92207795,63.07056346,73729787.27,57649668.01,113524949.5
25,58.80957972,62.73376071,76187188.1,57649047.25,111890296.6
26,57.70053955,62.3777251,78608361.18,57648426.26,110202439.1
27,56.59519812,62.00154593,80992154.79,57647805.06,108462179.8
28,55.49381298,61.60424339,83337434.99,57647183.64,106670346
29,54.39666013,61.18476349,85643086.16,57646562.01,104827790
30,53.30403583,60.74197253,87908011.5,57645940.15,102935387.9
31,52.21625851,60.27465123,90131133.6,57645318.08,100994039.5
32,51.13367088,59.78148836,92311394.93,57644695.8,99004668.02
33,50.05664234,59.261074,94447758.32,57644073.3,96968219.53
34,48.98557154,58.71189232,96539207.5,57643450.58,94885662.42
35,47.92088926,58.13231404,98584747.53,57642827.64,92757987.03
36,46.86306153,57.5205884,100583405.3,57642204.49,90586205.19
37,45.81259317,56.87483491,102534230.1,57641581.12,88371349.68
38,44.77003153,56.19303484,104436293.8,57640957.53,86114473.8
39,43.73597077,55.47302252,106288691.5,57640333.73,83816650.82
40,42.71105641,54.71247684,108090542.1,57639709.71,81478973.5
41,41.69599042,53.90891294,109840988.3,57639085.47,79102553.55
42,40.69153669,53.05967453,111539197.3,57638461.02,76688521.13
